Time,X-ray (ID 01) / Impulse Imp,X-ray (ID 01) / Voltage U,X-ray (ID 01) / Current I,X-ray (ID 01) / Detector angle ? _d,X-ray (ID 01) / Crystal angle ? _c
t/s,Imp/# / s,U/kV,I/mA,? _d/°,? _c/°
,,,,,
136,55,25,1,35.2,17.6
137,67,25,1,35.4,17.7
138,55,25,1,35.6,17.8
139,63,25,1,35.8,17.9
140,67,25,1,36,18
141,52,25,1,36.2,18.1
142,64,25,1,36.4,18.2
143,75,25,1,36.6,18.3
144,51,25,1,36.8,18.4
145,46,25,1,37,18.5
146,57,25,1,37.2,18.6
147,28,25,1,37.4,18.7
148,52,25,1,37.6,18.8
149,48,25,1,37.8,18.9
150,45,25,1,38,19
151,32,25,1,38.2,19.1
152,44,25,1,38.4,19.2
153,33,25,1,38.6,19.3
154,31,25,1,38.8,19.4
155,41,25,1,39,19.5
156,25,25,1,39.2,19.6
157,35,25,1,39.4,19.7
158,51,25,1,39.6,19.8
159,42,25,1,39.8,19.9
160,76,25,1,40,20
161,78,25,1,40.2,20.1
162,121,25,1,40.4,20.2
163,303,25,1,40.6,20.3
164,382,25,1,40.8,20.4
165,137,25,1,41,20.5
166,74,25,1,41.2,20.6
167,51,25,1,41.4,20.7
168,38,25,1,41.6,20.8
169,36,25,1,41.8,20.9
170,31,25,1,42,21
171,30,25,1,42.2,21.1
172,25,25,1,42.4,21.2
173,17,25,1,42.6,21.3
174,18,25,1,42.8,21.4
175,26,25,1,43,21.5
176,24,25,1,43.2,21.6
177,24,25,1,43.4,21.7
178,17,25,1,43.6,21.8
179,27,25,1,43.8,21.9
180,30,25,1,44,22
181,41,25,1,44.2,22.1
182,78,25,1,44.4,22.2
183,80,25,1,44.6,22.3
184,105,25,1,44.8,22.4
185,234,25,1,45,22.5
186,664,25,1,45.2,22.6
187,686,25,1,45.4,22.7
188,249,25,1,45.6,22.8
189,124,25,1,45.8,22.9
190,102,25,1,46,23
191,81,25,1,46.2,23.1
192,38,25,1,46.4,23.2
193,46,25,1,46.6,23.3
194,39,25,1,46.8,23.4
195,36,25,1,47,23.5
196,37,25,1,47.2,23.6
197,35,25,1,47.4,23.7
198,28,25,1,47.6,23.8
199,28,25,1,47.8,23.9
200,38,25,1,48,24
201,37,25,1,48.2,24.1
202,42,25,1,48.4,24.2
203,34,25,1,48.6,24.3
204,40,25,1,48.8,24.4
205,31,25,1,49,24.5
206,27,25,1,49.2,24.6
207,39,25,1,49.4,24.7
208,27,25,1,49.6,24.8
209,36,25,1,49.8,24.9
210,35,25,1,50,25
211,25,25,1,50.2,25.1
212,22,25,1,50.4,25.2
213,41,25,1,50.6,25.3
214,27,25,1,50.8,25.4
215,39,25,1,51,25.5
216,22,25,1,51.2,25.6
217,22,25,1,51.4,25.7
218,22,25,1,51.6,25.8
219,25,25,1,51.8,25.9
220,24,25,1,52,26
221,25,25,1,52.2,26.1
222,28,25,1,52.4,26.2
223,32,25,1,52.6,26.3
224,25,25,1,52.8,26.4
