Time,X-ray (ID 01) / Impulse Imp,X-ray (ID 01) / Voltage U,X-ray (ID 01) / Current I,X-ray (ID 01) / Detector angle ? _d,X-ray (ID 01) / Crystal angle ? _c
t/s,Imp/# / s,U/kV,I/mA,? _d/°,? _c/°
,,,,,
198,93,25,1,47.6,23.8
199,77,25,1,47.8,23.9
200,104,25,1,48,24
201,85,25,1,48.2,24.1
202,92,25,1,48.4,24.2
203,76,25,1,48.6,24.3
204,94,25,1,48.8,24.4
205,82,25,1,49,24.5
206,84,25,1,49.2,24.6
207,68,25,1,49.4,24.7
208,64,25,1,49.6,24.8
209,72,25,1,49.8,24.9
210,71,25,1,50,25
211,80,25,1,50.2,25.1
212,81,25,1,50.4,25.2
213,67,25,1,50.6,25.3
214,67,25,1,50.8,25.4
215,63,25,1,51,25.5
216,52,25,1,51.2,25.6
217,54,25,1,51.4,25.7
218,34,25,1,51.6,25.8
219,37,25,1,51.8,25.9
220,52,25,1,52,26
221,51,25,1,52.2,26.1
222,43,25,1,52.4,26.2
223,44,25,1,52.6,26.3
224,40,25,1,52.8,26.4
225,49,25,1,53,26.5
226,48,25,1,53.2,26.6
227,42,25,1,53.4,26.7
228,41,25,1,53.6,26.8
229,40,25,1,53.8,26.9
230,28,25,1,54,27
231,35,25,1,54.2,27.1
232,37,25,1,54.4,27.2
233,44,25,1,54.6,27.3
234,33,25,1,54.8,27.4
235,29,25,1,55,27.5
236,39,25,1,55.2,27.6
237,20,25,1,55.4,27.7
238,34,25,1,55.6,27.8
239,36,25,1,55.8,27.9
240,24,25,1,56,28
241,30,25,1,56.2,28.1
242,38,25,1,56.4,28.2
243,35,25,1,56.6,28.3
244,33,25,1,56.8,28.4
245,28,25,1,57,28.5
246,25,25,1,57.2,28.6
247,26,25,1,57.4,28.7
248,24,25,1,57.6,28.8
249,20,25,1,57.8,28.9
250,18,25,1,58,29
251,35,25,1,58.2,29.1
252,27,25,1,58.4,29.2
253,28,25,1,58.6,29.3
254,23,25,1,58.8,29.4
255,26,25,1,59,29.5
256,11,25,1,59.2,29.6
257,22,25,1,59.4,29.7
258,19,25,1,59.6,29.8
259,12,25,1,59.8,29.9
260,14,25,1,60,30
261,17,25,1,60.2,30.1
262,13,25,1,60.4,30.2
263,19,25,1,60.6,30.3
