Time,X-ray (ID 01) / Impulse Imp,X-ray (ID 01) / Voltage U,X-ray (ID 01) / Current I,X-ray (ID 01) / Detector angle ? _d,X-ray (ID 01) / Crystal angle ? _c
t/s,Imp/# / s,U/kV,I/mA,? _d/°,? _c/°
,,,,,
136,30,25,1,35.2,17.6
137,27,25,1,35.4,17.7
138,25,25,1,35.6,17.8
139,20,25,1,35.8,17.9
140,23,25,1,36,18
141,29,25,1,36.2,18.1
142,25,25,1,36.4,18.2
143,19,25,1,36.6,18.3
144,18,25,1,36.8,18.4
145,23,25,1,37,18.5
146,25,25,1,37.2,18.6
147,17,25,1,37.4,18.7
148,23,25,1,37.6,18.8
149,20,25,1,37.8,18.9
150,13,25,1,38,19
151,14,25,1,38.2,19.1
152,15,25,1,38.4,19.2
153,13,25,1,38.6,19.3
154,18,25,1,38.8,19.4
155,15,25,1,39,19.5
156,19,25,1,39.2,19.6
157,21,25,1,39.4,19.7
158,22,25,1,39.6,19.8
159,18,25,1,39.8,19.9
160,37,25,1,40,20
161,23,25,1,40.2,20.1
162,29,25,1,40.4,20.2
163,58,25,1,40.6,20.3
164,62,25,1,40.8,20.4
165,21,25,1,41,20.5
166,21,25,1,41.2,20.6
167,15,25,1,41.4,20.7
168,13,25,1,41.6,20.8
169,12,25,1,41.8,20.9
170,23,25,1,42,21
171,13,25,1,42.2,21.1
172,15,25,1,42.4,21.2
173,18,25,1,42.6,21.3
174,15,25,1,42.8,21.4
175,20,25,1,43,21.5
176,9,25,1,43.2,21.6
177,12,25,1,43.4,21.7
178,15,25,1,43.6,21.8
179,12,25,1,43.8,21.9
180,26,25,1,44,22
181,31,25,1,44.2,22.1
182,35,25,1,44.4,22.2
183,39,25,1,44.6,22.3
184,31,25,1,44.8,22.4
185,77,25,1,45,22.5
186,142,25,1,45.2,22.6
187,115,25,1,45.4,22.7
188,60,25,1,45.6,22.8
189,31,25,1,45.8,22.9
190,18,25,1,46,23
191,14,25,1,46.2,23.1
192,18,25,1,46.4,23.2
193,14,25,1,46.6,23.3
194,20,25,1,46.8,23.4
195,10,25,1,47,23.5
196,14,25,1,47.2,23.6
197,16,25,1,47.4,23.7
198,11,25,1,47.6,23.8
199,10,25,1,47.8,23.9
200,15,25,1,48,24
201,6,25,1,48.2,24.1
202,10,25,1,48.4,24.2
203,6,25,1,48.6,24.3
204,10,25,1,48.8,24.4
205,14,25,1,49,24.5
206,8,25,1,49.2,24.6
207,13,25,1,49.4,24.7
208,9,25,1,49.6,24.8
209,12,25,1,49.8,24.9
210,13,25,1,50,25
211,7,25,1,50.2,25.1
212,10,25,1,50.4,25.2
213,10,25,1,50.6,25.3
214,8,25,1,50.8,25.4
215,9,25,1,51,25.5
216,8,25,1,51.2,25.6
217,10,25,1,51.4,25.7
218,14,25,1,51.6,25.8
219,7,25,1,51.8,25.9
220,11,25,1,52,26
221,9,25,1,52.2,26.1
222,9,25,1,52.4,26.2
223,8,25,1,52.6,26.3
224,10,25,1,52.8,26.4
225,10,25,1,53,26.5
226,7,25,1,53.2,26.6
227,6,25,1,53.4,26.7
228,11,25,1,53.6,26.8
229,6,25,1,53.8,26.9
230,5,25,1,54,27
231,9,25,1,54.2,27.1
232,5,25,1,54.4,27.2
233,3,25,1,54.6,27.3
234,4,25,1,54.8,27.4
235,7,25,1,55,27.5
236,1,25,1,55.2,27.6
237,6,25,1,55.4,27.7
238,6,25,1,55.6,27.8
239,6,25,1,55.8,27.9
240,10,25,1,56,28
241,4,25,1,56.2,28.1
242,3,25,1,56.4,28.2
243,4,25,1,56.6,28.3
244,5,25,1,56.8,28.4
245,8,25,1,57,28.5
246,3,25,1,57.2,28.6
247,8,25,1,57.4,28.7
248,12,25,1,57.6,28.8
249,5,25,1,57.8,28.9
250,8,25,1,58,29
251,7,25,1,58.2,29.1
252,7,25,1,58.4,29.2
253,12,25,1,58.6,29.3
254,6,25,1,58.8,29.4
255,4,25,1,59,29.5
256,6,25,1,59.2,29.6
257,3,25,1,59.4,29.7
258,4,25,1,59.6,29.8
259,2,25,1,59.8,29.9
260,6,25,1,60,30
261,7,25,1,60.2,30.1
262,6,25,1,60.4,30.2
263,5,25,1,60.6,30.3
264,3,25,1,60.8,30.4
265,9,25,1,61,30.5
266,9,25,1,61.2,30.6
267,5,25,1,61.4,30.7
268,3,25,1,61.6,30.8
269,5,25,1,61.8,30.9
270,1,25,1,62,31
271,8,25,1,62.2,31.1
272,5,25,1,62.4,31.2
273,5,25,1,62.6,31.3
274,4,25,1,62.8,31.4
275,7,25,1,63,31.5
276,4,25,1,63.2,31.6
277,4,25,1,63.4,31.7
278,12,25,1,63.6,31.8
279,2,25,1,63.8,31.9
280,7,25,1,64,32
281,5,25,1,64.2,32.1
282,8,25,1,64.4,32.2
283,3,25,1,64.6,32.3
284,7,25,1,64.8,32.4
285,6,25,1,65,32.5
286,7,25,1,65.2,32.6
287,6,25,1,65.4,32.7
288,5,25,1,65.6,32.8
289,3,25,1,65.8,32.9
290,3,25,1,66,33
291,3,25,1,66.2,33.1
292,1,25,1,66.4,33.2
293,4,25,1,66.6,33.3
294,6,25,1,66.8,33.4
295,8,25,1,67,33.5
296,8,25,1,67.2,33.6
297,5,25,1,67.4,33.7
298,2,25,1,67.6,33.8
299,11,25,1,67.8,33.9
300,5,25,1,68,34
301,5,25,1,68.2,34.1
302,6,25,1,68.4,34.2
303,7,25,1,68.6,34.3
304,9,25,1,68.8,34.4
305,5,25,1,69,34.5
306,6,25,1,69.2,34.6
307,5,25,1,69.4,34.7
308,5,25,1,69.6,34.8
309,4,25,1,69.8,34.9
310,6,25,1,70,35
